Date,Close/Last,Volume,Open,High,Low
04/24/2024,$82.71,644735,$82.54,$83.105,$82.22
04/23/2024,$81.81,808971,$81.15,$81.90,$81.03
04/22/2024,$81.56,611203,$81.24,$81.73,$80.89
04/19/2024,$81.30,597787,$81.51,$82.16,$81.195
04/18/2024,$81.88,447911,$82.07,$82.57,$81.85
04/17/2024,$81.58,580063,$82.28,$82.28,$81.36
04/16/2024,$82.97,853267,$83.50,$83.63,$82.90
04/15/2024,$82.30,791379,$83.55,$83.67,$82.12
04/12/2024,$83.99,777403,$84.33,$84.57,$83.69
04/11/2024,$84.06,382830,$84.25,$84.31,$83.42
04/10/2024,$84.13,438876,$84.12,$84.418,$83.83
04/09/2024,$84.64,513605,$84.87,$85.1299,$84.22
04/08/2024,$84.32,551342,$84.59,$84.76,$84.125
04/05/2024,$84.82,411298,$84.50,$85.20,$84.29
04/04/2024,$84.55,607748,$86.09,$86.10,$84.52
04/03/2024,$85.77,940001,$85.43,$86.19,$85.4066
04/02/2024,$85.33,540979,$85.50,$85.50,$84.67
04/01/2024,$86.17,398028,$86.00,$86.34,$85.79
03/28/2024,$85.74,661050,$86.19,$86.345,$85.73
03/27/2024,$86.54,655285,$86.90,$86.90,$86.16
03/26/2024,$86.72,568777,$86.60,$87.12,$86.45
03/25/2024,$85.96,723480,$86.26,$86.47,$85.73
03/22/2024,$88.62,299137,$88.74,$88.845,$88.36
03/21/2024,$88.72,600697,$88.90,$89.58,$88.64
03/20/2024,$89.62,583119,$88.75,$89.74,$88.35
03/19/2024,$89.00,640262,$89.00,$89.20,$88.55
03/18/2024,$89.03,882008,$88.89,$89.52,$88.89
03/15/2024,$87.38,560645,$87.35,$87.67,$87.12
03/14/2024,$87.10,648046,$87.98,$88.2204,$86.805
03/13/2024,$87.84,442599,$87.81,$88.16,$87.58
03/12/2024,$87.75,480458,$87.46,$88.22,$87.0666
03/11/2024,$86.76,554944,$86.49,$86.93,$86.33
03/08/2024,$87.21,663456,$87.65,$88.00,$87.00
03/07/2024,$86.90,1088472,$87.21,$87.33,$86.79
03/06/2024,$86.77,735626,$86.76,$87.10,$86.39
03/05/2024,$85.66,536392,$86.12,$86.51,$85.5601
03/04/2024,$86.48,561671,$86.63,$86.9303,$86.16
03/01/2024,$88.02,1166177,$87.62,$88.45,$87.27
02/29/2024,$85.81,1146849,$86.21,$86.50,$85.62
02/28/2024,$85.16,580467,$85.32,$85.48,$84.89
