Date,Close/Last,Volume,Open,High,Low
04/24/2024,$99.19,2939412,$99.67,$99.92,$98.26
04/23/2024,$98.23,2364253,$97.83,$98.7499,$97.27
04/22/2024,$97.24,2853012,$95.50,$98.05,$94.55
04/19/2024,$95.05,1848153,$94.63,$95.45,$94.45
04/18/2024,$95.58,2597690,$95.29,$96.58,$94.86
04/17/2024,$94.41,2852185,$95.61,$95.89,$94.25
04/16/2024,$96.12,3345253,$95.85,$96.90,$94.64
04/15/2024,$96.21,3474690,$98.485,$98.70,$95.95
04/12/2024,$97.54,5304897,$100.37,$100.50,$97.37
04/11/2024,$102.32,2043900,$102.07,$102.4916,$101.1381
04/10/2024,$101.61,2899277,$103.00,$103.59,$101.27
04/09/2024,$103.50,2484565,$103.39,$103.96,$102.82
04/08/2024,$103.05,4438476,$103.58,$104.415,$102.47
04/05/2024,$106.49,3056537,$108.22,$108.39,$106.31
04/04/2024,$108.47,2415459,$108.63,$109.91,$108.27
04/03/2024,$108.32,1917990,$107.36,$108.37,$106.55
04/02/2024,$108.53,2000283,$107.00,$109.13,$106.54
04/01/2024,$108.44,3001698,$107.00,$109.25,$106.63
03/28/2024,$105.28,3016183,$105.95,$107.33,$104.97
03/27/2024,$104.99,3087543,$102.69,$105.00,$102.53
03/26/2024,$103.66,4040381,$104.57,$106.58,$103.601
03/25/2024,$105.66,6544834,$104.325,$105.99,$102.01
03/22/2024,$102.18,6097970,$105.68,$105.70,$101.33
03/21/2024,$101.70,2564166,$103.58,$103.70,$101.65
03/20/2024,$103.89,2428245,$104.72,$105.31,$102.77
03/19/2024,$104.17,1541828,$104.00,$104.27,$102.71
03/18/2024,$104.77,1672963,$104.15,$105.33,$103.91
03/15/2024,$103.86,1970267,$103.94,$104.95,$103.62
03/14/2024,$104.64,2693003,$106.12,$106.27,$103.82
03/13/2024,$107.89,4797381,$108.00,$111.02,$107.81
03/12/2024,$105.27,4533227,$103.24,$105.55,$102.60
03/11/2024,$101.29,3297718,$100.30,$102.51,$100.07
03/08/2024,$98.27,2326167,$98.21,$99.77,$97.99
03/07/2024,$97.81,3646397,$98.78,$98.88,$96.58
03/06/2024,$99.38,3788516,$100.05,$100.89,$99.1383
03/05/2024,$98.25,3789798,$98.61,$100.30,$98.16
03/04/2024,$100.72,4629326,$103.00,$103.05,$100.36
03/01/2024,$104.02,3765150,$102.50,$104.75,$102.50
02/29/2024,$101.33,7489298,$103.07,$104.00,$100.85
02/28/2024,$103.31,11392220,$107.85,$108.09,$103.25
02/27/2024,$112.36,6067679,$112.07,$114.11,$111.41
02/26/2024,$110.59,2857969,$110.78,$111.48,$110.05
02/23/2024,$111.36,3841989,$112.02,$112.79,$110.03
02/22/2024,$110.59,5588303,$108.45,$111.875,$106.85
02/21/2024,$107.22,3276782,$107.10,$108.70,$106.58
02/20/2024,$105.54,1978774,$106.35,$106.50,$104.50
02/16/2024,$107.12,1957592,$108.80,$109.66,$107.06
02/15/2024,$106.84,1427911,$106.135,$107.02,$105.55
02/14/2024,$106.71,2367162,$105.62,$107.07,$105.01
02/13/2024,$103.81,1631938,$104.93,$106.00,$103.29
02/12/2024,$106.71,1750450,$106.47,$109.08,$106.40
02/09/2024,$105.69,1875879,$103.56,$105.78,$102.89
02/08/2024,$103.17,1906891,$104.62,$104.90,$102.87
02/07/2024,$105.30,3053419,$104.75,$106.33,$104.16
02/06/2024,$107.56,3693932,$107.20,$108.3399,$105.14
02/05/2024,$103.61,2070509,$102.73,$104.285,$102.05
02/02/2024,$102.79,2395056,$103.68,$103.73,$102.161
02/01/2024,$104.98,1963199,$106.32,$107.52,$104.90
01/31/2024,$105.31,2001888,$103.585,$107.61,$103.32
01/30/2024,$105.29,2428427,$104.71,$106.17,$103.75
01/29/2024,$107.76,2330292,$108.40,$108.43,$105.86
01/26/2024,$107.66,2153285,$106.92,$108.46,$106.68
01/25/2024,$108.61,2961268,$109.795,$109.85,$106.82
01/24/2024,$110.62,4918803,$110.79,$111.385,$108.7101
01/23/2024,$107.19,6238973,$103.47,$107.83,$103.40
01/22/2024,$99.72,5070234,$98.03,$100.42,$97.51
01/19/2024,$102.65,4817193,$101.40,$104.01,$100.10
01/18/2024,$103.64,3913786,$103.30,$104.51,$101.63
01/17/2024,$102.20,4605545,$99.26,$102.23,$98.98
01/16/2024,$104.50,6127667,$104.65,$105.78,$102.76
01/12/2024,$109.11,6457683,$116.18,$116.50,$108.96
01/11/2024,$117.32,1632775,$117.07,$117.6427,$115.97
01/10/2024,$115.79,1984481,$116.38,$116.75,$114.54
01/09/2024,$116.20,2373772,$116.27,$116.93,$115.50
01/08/2024,$117.90,2580260,$115.30,$118.295,$114.83
01/05/2024,$118.15,2442011,$118.03,$119.75,$117.02
01/04/2024,$118.32,2199375,$117.48,$119.19,$116.40
01/03/2024,$117.69,2843922,$113.81,$117.76,$113.02
01/02/2024,$115.34,3009286,$116.89,$116.89,$114.25
12/29/2023,$119.09,2660652,$119.00,$120.25,$118.06
12/28/2023,$117.82,2751132,$117.00,$119.04,$116.80
12/27/2023,$114.39,1648779,$114.925,$115.60,$113.675
12/26/2023,$114.67,1585868,$115.94,$116.61,$114.08
12/22/2023,$114.74,2718700,$114.13,$116.70,$113.60
12/21/2023,$117.61,4065959,$114.19,$117.67,$114.07
12/20/2023,$111.23,3249926,$113.29,$114.17,$111.23
12/19/2023,$114.62,2433340,$112.26,$115.4299,$112.26
12/18/2023,$112.26,1767143,$112.65,$112.87,$111.57
12/15/2023,$114.12,2308247,$115.93,$116.15,$114.05
12/14/2023,$112.91,3184878,$111.25,$115.29,$111.23
12/13/2023,$112.36,2782316,$112.66,$112.66,$109.5301
12/12/2023,$113.15,1602066,$113.48,$113.65,$111.74
12/11/2023,$113.56,1927733,$111.27,$114.15,$110.88
12/08/2023,$113.45,1911263,$114.46,$114.46,$112.91
12/07/2023,$115.78,2751765,$114.41,$116.21,$114.22
12/06/2023,$113.38,2364849,$115.25,$115.67,$113.32
12/05/2023,$113.55,2411093,$111.88,$114.68,$111.73
12/04/2023,$113.70,4191458,$114.77,$114.77,$112.41
12/01/2023,$116.77,2419720,$116.20,$117.41,$114.70
11/30/2023,$118.66,1925608,$118.33,$118.74,$116.27
11/29/2023,$118.03,2593422,$118.11,$120.28,$117.42
11/28/2023,$119.63,3736661,$123.02,$123.74,$119.4801
11/27/2023,$124.00,4639467,$123.00,$126.23,$122.2001
11/24/2023,$123.40,4926931,$121.08,$124.83,$120.93
11/22/2023,$120.12,7169044,$115.815,$121.18,$115.04
11/21/2023,$113.42,6375530,$111.22,$116.065,$109.354
11/20/2023,$111.29,3973759,$108.39,$111.63,$107.95
11/17/2023,$108.10,2642455,$108.30,$108.855,$106.91
11/16/2023,$109.29,3127967,$108.61,$110.11,$107.25
11/15/2023,$112.84,3603108,$112.60,$114.52,$111.46
11/14/2023,$109.54,2105620,$108.77,$109.90,$108.09
11/13/2023,$107.21,2545128,$107.60,$108.4993,$106.14
11/10/2023,$105.94,1662950,$104.37,$105.97,$103.46
11/09/2023,$105.16,1856276,$106.86,$107.2855,$104.83
11/08/2023,$107.42,1491619,$107.57,$108.78,$107.13
11/07/2023,$108.01,1888245,$108.13,$108.945,$106.80
11/06/2023,$108.40,1997042,$110.36,$110.56,$107.818
11/03/2023,$109.66,2821530,$109.06,$111.41,$108.985
11/02/2023,$107.05,1679846,$107.00,$107.47,$105.91
11/01/2023,$104.97,2012668,$104.08,$105.1904,$103.3201
10/31/2023,$105.00,1899216,$104.94,$105.38,$103.37
10/30/2023,$106.17,2737241,$109.355,$109.355,$105.34
10/27/2023,$107.06,1666061,$110.10,$110.68,$106.70
10/26/2023,$108.64,1411481,$107.86,$109.18,$107.26
10/25/2023,$107.98,1776991,$109.20,$109.4899,$107.37
10/24/2023,$111.43,3350021,$107.82,$112.45,$107.76
10/23/2023,$107.40,2055752,$105.73,$108.21,$104.57
10/20/2023,$106.46,3385898,$105.94,$108.30,$105.37
10/19/2023,$107.86,5811285,$111.80,$112.91,$107.45
10/18/2023,$114.71,4147181,$117.22,$117.47,$114.18
10/17/2023,$119.76,4197088,$121.38,$122.56,$119.01
10/16/2023,$124.91,3073228,$123.692,$125.10,$121.67
10/13/2023,$125.18,2460270,$126.93,$127.92,$124.58
10/12/2023,$128.12,2445004,$133.62,$134.04,$127.15
10/11/2023,$134.12,1854546,$135.45,$135.85,$133.01
10/10/2023,$134.64,1511842,$133.61,$135.69,$133.36
10/09/2023,$133.58,880122,$132.01,$133.72,$132.00
10/06/2023,$134.76,1687399,$129.37,$135.29,$129.37
10/05/2023,$130.10,1277490,$128.00,$130.14,$127.50
10/04/2023,$127.81,1314478,$127.88,$128.31,$126.74
10/03/2023,$129.17,1972643,$131.00,$131.19,$128.80
10/02/2023,$133.05,1755244,$133.32,$134.23,$131.30
