Date,Close/Last,Volume,Open,High,Low
04/24/2024,67.61,6188320,67.78,67.78,67.335
04/23/2024,67.32,7323831,66.93,67.415,66.91
04/22/2024,67.17,6622892,66.83,67.37,66.715
04/19/2024,66.49,8553879,66.72,66.86,66.35
04/18/2024,66.89,7985359,67.18,67.415,66.805
04/17/2024,67.09,9147328,67.34,67.425,66.84
04/16/2024,67.81,8224470,67.95,68.13,67.63
04/15/2024,68.77,8202740,69.64,69.82,68.66
04/12/2024,69.06,7815466,69.56,69.655,68.9931
04/11/2024,69.99,8337176,69.96,70.105,69.27
04/10/2024,69.38,9034989,69.49,69.68,69.1101
04/09/2024,70.48,7474953,70.82,70.82,70.20
04/08/2024,70.22,6555421,70.29,70.5099,70.19
04/05/2024,69.87,11909980,69.72,70.0454,69.595
04/04/2024,69.67,11481160,70.79,70.79,69.63
04/03/2024,70.40,11686930,69.87,70.515,69.87
04/02/2024,69.92,10631950,69.88,69.94,69.57
04/01/2024,70.28,8227905,70.27,70.41,70.07
03/28/2024,71.35,11319670,71.06,71.52,71.06
03/27/2024,71.61,8787005,71.49,71.615,71.275
03/26/2024,71.30,7997760,71.48,71.58,71.28
03/25/2024,70.99,10403520,70.93,71.175,70.89
03/22/2024,71.82,5767984,72.04,72.065,71.74
03/21/2024,71.83,10859930,71.68,71.9283,71.66
03/20/2024,71.47,7308540,71.02,71.515,70.865
03/19/2024,70.92,7411314,70.59,71.055,70.4956
03/18/2024,70.65,17599720,70.50,70.71,70.29
03/15/2024,69.57,11684640,69.44,69.64,69.27
03/14/2024,69.06,10113750,69.67,69.715,68.8201
03/13/2024,69.37,8687143,69.20,69.51,69.08
03/12/2024,69.98,9823936,69.58,70.035,69.325
03/11/2024,69.60,18476760,69.81,69.89,69.44
03/08/2024,71.18,8613295,71.68,71.755,71.11
03/07/2024,71.34,6776639,71.25,71.43,71.13
03/06/2024,71.37,8644217,71.34,71.64,71.165
03/05/2024,70.30,9841708,70.62,70.77,70.165
03/04/2024,69.92,6406617,70.00,70.10,69.8299
03/01/2024,70.33,8224955,69.97,70.395,69.815
02/29/2024,69.12,7563877,69.25,69.38,68.815
02/28/2024,68.67,7658978,68.67,68.826,68.59
02/27/2024,69.18,8569568,69.08,69.256,69.04
02/26/2024,69.00,7376319,69.27,69.27,68.90
02/23/2024,69.01,6588180,69.00,69.216,68.97
02/22/2024,68.90,8163344,68.78,68.965,68.64
02/21/2024,67.79,5552449,67.78,67.98,67.565
02/20/2024,67.93,6051971,67.98,68.08,67.665
02/16/2024,67.63,12441140,67.58,67.94,67.43
02/15/2024,67.64,8261872,67.20,67.70,67.17
02/14/2024,67.00,7383967,66.79,67.02,66.645
02/13/2024,66.74,6513557,67.15,67.245,66.51
02/12/2024,66.97,4820826,66.79,67.20,66.77
02/09/2024,66.63,7062181,66.35,66.645,66.28
02/08/2024,66.39,6381928,66.30,66.40,65.9601
02/07/2024,66.56,9171321,66.52,66.64,66.405
02/06/2024,66.18,9294498,65.81,66.18,65.80
02/05/2024,66.19,9790790,66.26,66.41,65.92
02/02/2024,66.51,8473446,66.29,66.53,66.0801
02/01/2024,66.92,8340185,66.54,66.94,66.285
01/31/2024,66.21,11841390,66.55,66.91,66.065
01/30/2024,65.93,8448022,66.02,66.07,65.81
01/29/2024,66.17,8571453,65.87,66.285,65.75
01/26/2024,65.39,6299775,65.40,65.62,65.305
01/25/2024,65.92,11018610,66.22,66.22,65.715
01/24/2024,66.17,15995540,66.33,66.555,66.12
01/23/2024,66.09,7538629,65.90,66.13,65.785
01/22/2024,66.68,8696494,66.56,66.85,66.485
01/19/2024,65.90,11186020,65.56,65.90,65.28
01/18/2024,65.73,11142900,65.39,65.745,65.345
01/17/2024,65.12,10639400,64.95,65.135,64.7517
01/16/2024,65.94,11987530,66.51,66.58,65.79
01/12/2024,66.43,9227028,66.54,66.79,66.3347
01/11/2024,65.80,9210430,65.79,65.90,65.255
01/10/2024,65.22,11832760,65.23,65.41,65.12
01/09/2024,64.07,5218761,64.04,64.235,63.965
01/08/2024,64.46,5785480,63.68,64.48,63.57
01/05/2024,63.53,6507587,63.56,64.19,63.46
01/04/2024,63.06,3649572,63.05,63.45,63.01
01/03/2024,63.21,7952815,63.30,63.50,62.975
01/02/2024,63.56,6827966,63.57,63.95,63.44
12/29/2023,64.14,7236637,64.11,64.275,63.96
12/28/2023,64.04,4144179,64.06,64.26,63.985
12/27/2023,63.66,4275234,63.40,63.70,63.385
12/26/2023,63.31,3942969,63.11,63.415,63.06
12/22/2023,63.33,4500013,63.31,63.595,63.19
12/21/2023,63.13,5743012,62.73,63.16,62.715
12/20/2023,62.05,11485350,62.73,62.78,61.935
12/19/2023,63.24,5975486,63.34,63.575,63.09
12/18/2023,63.05,5017617,63.18,63.23,62.86
12/15/2023,63.17,7283197,63.68,63.715,63.12
12/14/2023,63.72,12694780,63.52,63.93,63.43
12/13/2023,64.01,5657394,62.96,64.05,62.77
12/12/2023,63.05,3134072,62.78,63.07,62.63
12/11/2023,63.14,5440823,62.98,63.20,62.932
12/08/2023,62.78,5921375,62.48,62.83,62.41
12/07/2023,63.15,8769552,62.76,63.54,62.49
12/06/2023,62.67,6475064,63.10,63.17,62.65
12/05/2023,62.02,3818136,62.07,62.245,61.965
12/04/2023,62.25,4531336,62.32,62.545,62.12
12/01/2023,63.21,4504606,62.37,63.22,62.345
11/30/2023,62.61,6671844,62.66,62.68,62.0231
11/29/2023,62.49,4010417,62.48,62.675,62.3199
11/28/2023,62.55,4405444,62.24,62.74,62.14
11/27/2023,62.56,4047008,62.46,62.64,62.385
11/24/2023,62.61,1370435,62.46,62.635,62.4105
11/22/2023,62.49,4539943,62.40,62.515,62.16
11/21/2023,62.10,4413842,62.41,62.525,62.00
11/20/2023,62.36,7479468,62.09,62.42,62.05
11/17/2023,62.35,5164652,62.11,62.405,62.04
11/16/2023,61.39,5942999,61.31,61.495,61.20
11/15/2023,61.18,6442902,61.37,61.52,61.05
11/14/2023,61.64,5383249,61.04,61.69,61.02
11/13/2023,60.44,4932615,60.14,60.545,60.05
11/10/2023,60.47,4877812,60.10,60.47,59.83
11/09/2023,59.89,6913029,60.50,60.56,59.87
11/08/2023,59.64,6847765,59.87,59.98,59.51
11/07/2023,60.64,5801674,60.43,60.705,60.285
11/06/2023,61.20,5945349,61.44,61.475,61.075
11/03/2023,62.00,7669097,61.65,62.245,61.50
11/02/2023,60.95,7777779,60.54,60.99,60.3738
11/01/2023,59.97,7375187,59.43,59.98,59.385
10/31/2023,58.96,6625258,58.73,59.0264,58.54
10/30/2023,58.25,6445917,58.05,58.26,57.76
10/27/2023,57.82,4639641,58.22,58.23,57.68
10/26/2023,57.34,5833109,57.66,57.78,57.20
10/25/2023,58.13,6311545,58.53,58.575,58.08
10/24/2023,58.36,5974747,58.15,58.39,58.07
10/23/2023,57.99,6251539,57.76,58.365,57.6001
10/20/2023,58.13,4356765,58.47,58.595,58.12
10/19/2023,58.52,7199264,58.93,59.22,58.415
10/18/2023,58.95,4984407,59.55,59.60,58.84
10/17/2023,59.89,5662903,59.42,60.145,59.42
10/16/2023,59.77,7738775,59.38,59.80,59.37
10/13/2023,59.58,5528090,59.95,60.055,59.46
10/12/2023,60.33,6965066,60.81,60.81,60.115
10/11/2023,60.18,5427411,60.32,60.415,59.94
10/10/2023,60.33,5054712,60.14,60.545,60.08
10/09/2023,59.55,5133521,59.03,59.67,59.015
10/06/2023,59.38,7078778,58.92,59.46,58.595
10/05/2023,59.23,6329026,59.07,59.3169,58.855
10/04/2023,58.09,8756893,57.92,58.11,57.7001
10/03/2023,58.73,15392840,58.78,59.48,58.42
10/02/2023,59.77,6944448,60.00,60.055,59.57
09/29/2023,60.29,9032670,60.82,60.87,60.12
09/28/2023,61.15,8296870,60.71,61.255,60.685
09/27/2023,61.03,8211503,61.40,61.425,60.78
09/26/2023,60.77,8765694,61.10,61.245,60.715
09/25/2023,61.72,6078325,61.52,61.746,61.35
09/22/2023,61.80,6319745,61.98,62.17,61.77
09/21/2023,61.63,5040089,61.81,62.035,61.61
09/20/2023,62.60,8086215,63.03,63.30,62.58
09/19/2023,63.45,4046835,63.51,63.635,63.3399
09/18/2023,63.14,4545215,62.99,63.165,62.81
09/15/2023,62.99,4669872,63.23,63.395,62.96
09/14/2023,63.34,5157190,63.19,63.43,63.06
09/13/2023,62.28,5859952,62.27,62.43,62.16
09/12/2023,62.31,3647219,62.20,62.47,62.20
09/11/2023,62.32,6489585,62.15,62.40,62.065
09/08/2023,61.61,5631384,61.67,61.81,61.53
09/07/2023,62.23,5362869,62.25,62.31,62.055
09/06/2023,62.23,5076050,62.44,62.55,62.07
09/05/2023,62.07,4909608,62.22,62.24,62.01
09/01/2023,62.04,5084198,62.52,62.52,61.80
08/31/2023,61.64,6259040,61.49,61.72,61.425
08/30/2023,60.99,4736888,60.98,61.145,60.85
08/29/2023,61.10,4342040,60.21,61.135,60.19
08/28/2023,60.68,3398812,60.50,60.74,60.48
08/25/2023,59.97,4403904,59.90,60.185,59.53
08/24/2023,59.66,5996826,60.13,60.275,59.64
08/23/2023,60.45,5227425,60.16,60.64,60.15
08/22/2023,59.66,5166261,60.00,60.005,59.61
08/21/2023,59.37,3872196,59.32,59.47,59.10
08/18/2023,59.32,3962626,59.07,59.465,59.04
08/17/2023,59.17,7489725,59.69,59.7471,59.075
08/16/2023,59.42,6043244,59.72,59.935,59.405
08/15/2023,60.17,9804215,60.46,60.46,60.07
08/14/2023,60.82,5623576,60.57,60.87,60.46
08/11/2023,61.37,5682845,61.48,61.64,61.31
08/10/2023,61.47,7154449,61.93,62.185,61.43
08/09/2023,61.21,4421269,61.52,61.57,61.12
08/08/2023,61.75,4519579,61.65,61.78,61.48
08/07/2023,62.30,4209421,62.28,62.355,62.11
08/04/2023,61.78,5821287,61.80,62.29,61.71
08/03/2023,61.19,4989476,60.87,61.27,60.80
08/02/2023,61.49,11901980,61.92,62.055,61.45
08/01/2023,62.67,6392462,62.92,62.99,62.60
07/31/2023,63.42,9700006,63.32,63.65,63.295
07/28/2023,63.70,5952299,63.87,64.065,63.68
07/27/2023,63.34,13156040,63.52,63.79,63.235
07/26/2023,62.83,4351693,62.67,63.035,62.615
07/25/2023,62.58,5303146,62.34,62.64,62.34
07/24/2023,62.50,6047346,62.41,62.65,62.31
07/21/2023,62.41,7566264,62.51,62.575,62.30
07/20/2023,62.48,7279038,62.55,62.68,62.345
07/19/2023,63.32,6073399,63.35,63.46,63.175
07/18/2023,63.31,9943390,63.15,63.38,63.025
07/17/2023,62.45,9923477,62.23,62.52,62.115
07/14/2023,62.42,8611575,62.55,62.68,62.37
07/13/2023,63.18,10043280,63.13,63.24,63.04
07/12/2023,62.25,10371430,61.97,62.62,61.915
07/11/2023,61.82,6165863,61.50,61.83,61.39
07/10/2023,61.55,6002253,61.25,61.575,61.25
07/07/2023,61.64,6669978,61.07,61.92,61.07
07/06/2023,60.77,9312886,60.83,60.87,60.41
07/05/2023,61.58,6195031,61.68,61.69,61.495
07/03/2023,62.09,4219416,62.18,62.41,62.075
06/30/2023,61.90,6036503,61.66,62.03,61.61
06/29/2023,61.51,5542278,61.45,61.619,61.38
06/28/2023,61.82,4924549,61.67,61.97,61.55
06/27/2023,61.14,4398855,60.97,61.19,60.78
