Date,Close/Last,Volume,Open,High,Low
04/24/2024,49.93,1260189,50.09,50.11,49.71
04/23/2024,50.11,3637044,49.61,50.175,49.58
04/22/2024,49.29,2143288,49.01,49.455,48.95
04/19/2024,48.73,2352708,48.87,48.9902,48.54
04/18/2024,48.73,1584778,48.79,49.09,48.635
04/17/2024,48.78,5488153,49.21,49.21,48.585
04/16/2024,48.76,3604471,48.76,48.98,48.545
04/15/2024,48.93,4669546,49.81,49.86,48.86
04/12/2024,48.99,6850224,49.30,49.51,48.91
04/11/2024,49.97,2837783,50.08,50.12,49.335
04/10/2024,50.01,2576145,49.88,50.265,49.78
04/09/2024,50.67,2079571,50.96,51.03,50.43
04/08/2024,50.90,1618791,50.93,51.02,50.84
04/05/2024,50.59,2149225,50.35,50.6959,50.21
04/04/2024,50.45,3684459,51.36,51.36,50.3891
04/03/2024,50.98,2083381,50.66,51.0651,50.655
04/02/2024,50.53,2511810,50.50,50.595,50.395
04/01/2024,51.09,2033156,51.01,51.46,51.01
03/28/2024,51.06,1446376,51.10,51.16,50.995
03/27/2024,51.29,1597194,51.14,51.29,51.05
03/26/2024,50.86,1500041,51.02,51.106,50.84
03/25/2024,50.75,1398151,50.65,50.895,50.63
03/22/2024,50.59,1506561,50.65,50.70,50.49
03/21/2024,50.75,1746171,50.89,50.95,50.74
03/20/2024,50.97,2120227,50.27,51.02,50.22
03/19/2024,50.26,1510781,50.20,50.46,50.14
03/18/2024,50.13,1319367,50.39,50.39,50.085
03/15/2024,50.37,1861868,50.46,50.88,50.21
03/14/2024,50.33,1904598,50.69,50.695,50.11
03/13/2024,50.72,2212212,50.73,50.8551,50.64
03/12/2024,50.54,1664034,50.12,50.555,49.91
03/11/2024,50.05,2031870,49.97,50.07,49.7743
03/08/2024,50.09,6379068,50.54,50.575,50.03
03/07/2024,50.48,1492398,50.09,50.5587,50.08
03/06/2024,49.71,1874930,49.67,49.855,49.565
03/05/2024,49.20,1870485,49.34,49.535,49.01
03/04/2024,49.425,3207183,49.31,49.53,49.275
03/01/2024,49.36,2459658,49.10,49.36,48.84
02/29/2024,49.05,3165907,49.16,49.24,48.755
02/28/2024,49.07,2422443,49.00,49.15,48.93
02/27/2024,49.17,2262621,49.03,49.235,49.03
02/26/2024,48.99,4494840,49.04,49.065,48.885
02/23/2024,49.01,3832559,49.08,49.095,48.915
02/22/2024,48.98,1150677,48.83,49.01,48.74
02/21/2024,48.31,1282272,48.03,48.325,48.03
02/20/2024,48.06,1177756,48.02,48.125,47.89
02/16/2024,47.78,1253838,47.79,48.00,47.67
02/15/2024,47.88,939848,47.57,47.92,47.56
02/14/2024,47.29,2871693,47.06,47.31,47.04
02/13/2024,46.72,2306749,46.86,46.995,46.545
02/12/2024,47.62,1403257,47.58,47.805,47.55
02/09/2024,47.63,1521716,47.40,47.69,47.295
02/08/2024,47.38,1679311,47.40,47.46,47.32
02/07/2024,47.25,1195012,47.26,47.30,47.08
02/06/2024,47.30,1911750,47.01,47.31,46.98
02/05/2024,46.99,1667058,46.90,47.085,46.67
02/02/2024,47.23,1672540,47.28,47.28,47.03
02/01/2024,47.64,2075901,47.25,47.65,47.115
01/31/2024,47.16,2531456,47.68,47.77,47.07
01/30/2024,47.55,2036880,47.55,47.62,47.41
01/29/2024,47.50,1826797,47.10,47.54,47.09
01/26/2024,47.40,1131962,47.40,47.515,47.36
01/25/2024,47.04,1818152,46.96,47.06,46.755
01/24/2024,46.83,4617171,47.03,47.16,46.79
01/23/2024,46.10,1561106,46.01,46.1002,45.855
01/22/2024,46.19,2935284,46.25,46.37,46.15
01/19/2024,46.21,1562118,45.90,46.21,45.75
01/18/2024,46.04,2470223,45.80,46.065,45.70
01/17/2024,45.48,2221671,45.33,45.51,45.10
01/16/2024,45.80,1663648,45.84,46.00,45.69
01/12/2024,46.63,1665591,46.67,46.84,46.521
01/11/2024,46.56,1663613,46.64,46.74,46.1234
01/10/2024,46.62,2692467,46.41,46.70,46.305
01/09/2024,46.36,1170688,46.31,46.48,46.29
01/08/2024,46.87,1719194,46.50,46.87,46.50
01/05/2024,46.32,2449288,46.20,46.74,46.20
01/04/2024,46.36,4075481,46.27,46.63,46.27
01/03/2024,46.12,2936346,46.10,46.28,45.93
01/02/2024,46.78,4230019,46.85,47.00,46.7124
12/29/2023,47.44,2299625,47.50,47.64,47.30
