Timestamp,Open,High,Low,Close,Volume
2024-04-24,157.49,159.565,157.165,159.13,22779110
2024-04-23,156.96,158.97,156.28,158.26,21151570
2024-04-22,154.31,157.64,154.06,156.28,26446210
2024-04-19,156.2,156.36,152.3,154.09,32615640
2024-04-18,155.34,156.94,154.62,156.01,19883040
2024-04-17,155.62,157.08,154.58,155.47,21763130
2024-04-16,154.19,155.65,153.43,154.4,20779500
2024-04-15,158.86,159.24,154.59,154.86,27136470
2024-04-12,157.96,160.2225,157.14,157.73,25353750
2024-04-11,156.91,159.68,156.46,159.41,27166430
2024-04-10,156.21,156.61,154.68,156.14,22838630
2024-04-09,156.085,158.56,155.19,156.6,31113010
2024-04-08,152.78,155.27,152.61,154.85,20701970
2024-04-05,150.03,153.42,149.6,152.5,23459250
2024-04-04,153.5,154.77,150.45,150.53,34724740
2024-04-03,153.6,155.08,152.73,154.92,24704990
2024-04-02,153.5,154.7,152.15,154.56,24585990
2024-04-01,150.69,155.74,150.61,155.49,31730850
2024-03-28,150.85,151.43,150.17,150.93,24485390
2024-03-27,151.18,151.635,148.9,150.87,22879180
2024-03-26,150.22,152.256,149.98,150.67,22149140
2024-03-25,149.94,150.375,147.82,150.07,19229290
2024-03-22,149.12,151.58,148.98,150.77,29211770
2024-03-21,149.47,150.37,146.9001,147.6,24755600
2024-03-20,148.0,148.86,146.735,148.74,21311500
2024-03-19,148.16,148.7913,146.08,147.03,24070440
2024-03-18,148.61,152.15,147.17,147.68,69273700
2024-03-15,142.5,143.18,140.03,141.18,49475420
2024-03-14,141.19,143.585,140.455,143.1,42753390
2024-03-13,139.0,141.09,138.99,139.79,23347210
2024-03-12,137.03,139.375,137.03,138.5,27563350
2024-03-11,136.13,139.095,136.13,137.67,32437770
2024-03-08,134.21,138.085,134.0,135.41,39370390
2024-03-07,132.795,134.94,131.61,134.38,37738210
2024-03-06,133.12,133.58,130.85,131.4,35318610
2024-03-05,131.88,133.24,130.665,132.67,40194760
2024-03-04,135.66,135.66,131.91,133.35,55999420
2024-03-01,138.43,138.87,136.92,137.14,31151120
2024-02-29,137.28,138.86,136.4,138.46,42132950
