Date,Close/Last,Volume,Open,High,Low
04/24/2024,$41.69,1555249,$41.64,$41.76,$41.4711
04/23/2024,$41.89,1583730,$41.57,$41.9309,$41.54
04/22/2024,$41.62,2107291,$41.27,$41.7299,$41.195
04/19/2024,$40.52,1663943,$40.06,$40.56,$40.00
04/18/2024,$40.39,1544940,$40.26,$40.47,$40.149
04/17/2024,$39.98,1721270,$40.13,$40.25,$39.775
04/16/2024,$39.65,2894225,$39.83,$39.87,$39.46
04/15/2024,$40.57,2463002,$41.27,$41.40,$40.48
04/12/2024,$40.63,3373524,$41.06,$41.21,$40.55
04/11/2024,$40.95,2059429,$40.94,$41.055,$40.525
04/10/2024,$41.81,3240333,$41.56,$41.865,$41.445
04/09/2024,$41.16,1930699,$41.24,$41.33,$40.94
04/08/2024,$41.01,1553109,$40.86,$41.065,$40.76
04/05/2024,$40.72,1404030,$40.41,$40.72,$40.26
04/04/2024,$40.17,3000082,$40.89,$40.96,$40.12
04/03/2024,$40.13,1875587,$39.59,$40.18,$39.55
04/02/2024,$39.32,1379153,$39.13,$39.335,$39.04
04/01/2024,$39.31,1314952,$39.37,$39.45,$39.08
03/28/2024,$39.36,1779217,$39.56,$39.585,$39.195
03/27/2024,$38.99,2310564,$39.05,$39.1601,$38.94
03/26/2024,$39.70,1994464,$39.71,$39.805,$39.66
03/25/2024,$39.52,1659926,$39.43,$39.69,$39.43
03/22/2024,$39.52,1318590,$39.70,$39.735,$39.475
03/21/2024,$39.50,2476832,$39.41,$39.735,$39.38
03/20/2024,$39.06,2356977,$38.38,$39.06,$38.345
03/19/2024,$38.50,1293965,$38.37,$38.57,$38.34
03/18/2024,$38.42,1936143,$38.70,$38.70,$38.36
03/15/2024,$38.21,2243352,$38.09,$38.29,$38.04
03/14/2024,$37.53,1389605,$37.72,$37.81,$37.38
03/13/2024,$37.99,2041067,$38.12,$38.19,$37.79
03/12/2024,$38.01,2409455,$37.98,$38.085,$37.84
03/11/2024,$37.13,2471552,$37.03,$37.20,$36.93
03/08/2024,$37.44,1886457,$37.57,$37.72,$37.36
03/07/2024,$37.88,2194602,$37.83,$38.03,$37.71
03/06/2024,$39.23,3372796,$39.15,$39.336,$38.995
03/05/2024,$38.93,2212493,$38.73,$39.12,$38.73
03/04/2024,$38.78,2124715,$38.69,$38.905,$38.68
03/01/2024,$38.98,2206020,$39.06,$39.16,$38.79
02/29/2024,$39.18,4169100,$39.26,$39.31,$38.80
02/28/2024,$38.49,4268618,$38.81,$38.8982,$38.34
02/27/2024,$38.36,2929996,$38.43,$38.50,$38.325
02/26/2024,$38.08,2002842,$38.12,$38.195,$37.84
02/23/2024,$38.20,2315603,$38.17,$38.305,$38.045
02/22/2024,$37.71,4341542,$37.41,$37.77,$37.335
02/21/2024,$37.22,8243330,$37.49,$37.64,$37.11
02/20/2024,$40.85,1727378,$40.73,$40.93,$40.71
02/16/2024,$40.32,1823891,$40.24,$40.46,$40.10
02/15/2024,$39.87,1453952,$39.47,$39.88,$39.41
02/14/2024,$39.29,1821643,$39.22,$39.38,$39.055
02/13/2024,$38.65,2257105,$38.96,$38.98,$38.44
02/12/2024,$38.83,1449788,$38.59,$38.96,$38.59
02/09/2024,$39.03,1315142,$38.91,$39.03,$38.70
02/08/2024,$39.25,1882414,$39.42,$39.53,$39.16
02/07/2024,$39.95,1970815,$40.05,$40.08,$39.7525
