Timestamp,Open,High,Low,Close,Volume
2022-09-30,26.13,26.475,26.04,26.07,3619676
2022-09-29,25.85,26.17,25.63,26.03,4292514
2022-09-28,25.81,26.71,25.77,26.58,5210994
2022-09-27,27.04,27.16,26.555,26.68,4441026
2022-09-26,27.16,27.477,26.8126,27.04,5073481
2022-09-23,28.43,28.46,27.905,28.16,4424554
2022-09-22,29.52,29.57,29.1,29.22,2993403
2022-09-21,30.1,30.115,29.46,29.46,3873676
2022-09-20,30.59,30.68,30.22,30.39,3127746
2022-09-19,30.22,30.575,30.12,30.54,1455299
2022-09-16,30.34,30.515,30.26,30.46,3194961
2022-09-15,30.41,30.87,30.4,30.67,2792718
2022-09-14,30.24,30.435,30.11,30.33,2851694
2022-09-13,30.7,30.99,30.44,30.48,3375321
2022-09-12,31.42,31.745,31.375,31.47,2610629
2022-09-09,30.74,30.955,30.56,30.9,2808756
2022-09-08,30.16,30.605,30.08,30.57,2541953
2022-09-07,29.91,30.435,29.85,30.38,2869227
2022-09-06,31.14,31.17,30.59,30.76,2318586
2022-09-02,30.87,31.22,30.52,30.59,3025291
2022-09-01,30.4,30.455,30.061,30.38,3027187
2022-08-31,30.88,31.15,30.8,30.83,2349475
2022-08-30,31.38,31.405,30.865,30.92,2613447
2022-08-29,30.87,31.265,30.746,31.14,1731679
2022-08-26,31.45,31.52,30.85,30.86,2407293
2022-08-25,30.9,31.185,30.83,31.17,1612189
2022-08-24,30.73,31.02,30.6,30.85,2511027
2022-08-23,31.39,31.61,31.35,31.41,2154820
2022-08-22,31.78,31.895,31.665,31.72,3396420
2022-08-19,31.88,31.95,31.625,31.81,3512115
2022-08-18,32.59,32.59,32.32,32.41,1503535
2022-08-17,32.82,33.07,32.74,33.04,2483465
2022-08-16,33.22,33.4388,33.19,33.4,1925712
2022-08-15,33.11,33.22,32.885,33.15,1547812
2022-08-12,33.46,33.63,33.3115,33.61,1800448
2022-08-11,33.5,33.645,33.385,33.5,1794557
2022-08-10,33.24,33.465,33.19,33.29,2242351
2022-08-09,33.44,33.68,33.315,33.45,2490998
2022-08-08,33.16,33.23,32.915,32.94,1880163
2022-08-05,32.45,32.825,32.42,32.81,2076860
2022-08-04,32.76,32.87,32.66,32.71,2075996
