Date,Close/Last,Volume,Open,High,Low
04/24/2024,$3.65,13129940,$3.66,$3.68,$3.63
04/23/2024,$3.68,17830760,$3.58,$3.69,$3.56
04/22/2024,$3.69,21685450,$3.66,$3.73,$3.63
04/19/2024,$3.52,17395340,$3.49,$3.55,$3.48
04/18/2024,$3.45,21249130,$3.37,$3.45,$3.36
04/17/2024,$3.33,21438810,$3.36,$3.36,$3.30
04/16/2024,$3.33,35270080,$3.37,$3.3899,$3.32
04/15/2024,$3.30,21447380,$3.39,$3.4075,$3.29
04/12/2024,$3.33,10113560,$3.39,$3.3975,$3.33
04/11/2024,$3.42,10629300,$3.46,$3.48,$3.41
04/10/2024,$3.42,18180460,$3.48,$3.48,$3.40
04/09/2024,$3.50,10091300,$3.48,$3.53,$3.48
04/08/2024,$3.48,18404890,$3.50,$3.51,$3.47
04/05/2024,$3.49,14833250,$3.51,$3.52,$3.46
04/04/2024,$3.53,7926594,$3.61,$3.62,$3.52
04/03/2024,$3.58,20457820,$3.51,$3.60,$3.50
04/02/2024,$3.50,12316250,$3.53,$3.53,$3.49
04/01/2024,$3.50,7634259,$3.55,$3.57,$3.49
03/28/2024,$3.54,14526750,$3.56,$3.60,$3.54
03/27/2024,$3.60,15118710,$3.56,$3.63,$3.55
03/26/2024,$3.54,13318240,$3.55,$3.58,$3.53
03/25/2024,$3.52,9013614,$3.555,$3.57,$3.52
03/22/2024,$3.58,21461080,$3.57,$3.59,$3.555
03/21/2024,$3.58,13891350,$3.58,$3.60,$3.57
03/20/2024,$3.59,15973990,$3.51,$3.59,$3.49
03/19/2024,$3.52,14455720,$3.49,$3.53,$3.48
03/18/2024,$3.48,23497920,$3.59,$3.60,$3.47
03/15/2024,$3.69,15936910,$3.70,$3.70,$3.66
03/14/2024,$3.66,14188840,$3.69,$3.70,$3.64
03/13/2024,$3.67,23540380,$3.615,$3.68,$3.61
03/12/2024,$3.66,12719460,$3.64,$3.66,$3.61
03/11/2024,$3.63,16120390,$3.61,$3.64,$3.60
03/08/2024,$3.62,15512930,$3.64,$3.65,$3.61
03/07/2024,$3.70,15950060,$3.685,$3.72,$3.66
03/06/2024,$3.67,17672480,$3.56,$3.68,$3.56
03/05/2024,$3.52,8923618,$3.60,$3.61,$3.52
03/04/2024,$3.61,11121660,$3.59,$3.62,$3.57
03/01/2024,$3.56,9023947,$3.52,$3.56,$3.51
02/29/2024,$3.53,14380400,$3.55,$3.5655,$3.52
02/28/2024,$3.56,9237796,$3.56,$3.58,$3.55
02/27/2024,$3.57,13922790,$3.515,$3.58,$3.51
02/26/2024,$3.53,11954780,$3.52,$3.54,$3.505
02/23/2024,$3.54,6502186,$3.56,$3.5675,$3.53
02/22/2024,$3.58,13199130,$3.53,$3.58,$3.528
02/21/2024,$3.53,16189580,$3.50,$3.54,$3.48
02/20/2024,$3.49,9580325,$3.51,$3.52,$3.4725
02/16/2024,$3.55,10981100,$3.51,$3.55,$3.50
02/15/2024,$3.51,19084240,$3.505,$3.55,$3.50
02/14/2024,$3.52,15873820,$3.49,$3.52,$3.46
02/13/2024,$3.49,11521990,$3.55,$3.56,$3.48
02/12/2024,$3.62,14279520,$3.58,$3.65,$3.575
02/09/2024,$3.59,14196290,$3.61,$3.61,$3.57
02/08/2024,$3.68,15087600,$3.62,$3.68,$3.60
02/07/2024,$3.55,8820638,$3.56,$3.59,$3.53
02/06/2024,$3.56,9735221,$3.53,$3.59,$3.53
02/05/2024,$3.56,12019860,$3.57,$3.60,$3.5544
02/02/2024,$3.55,11068420,$3.56,$3.58,$3.54
02/01/2024,$3.59,17518830,$3.62,$3.63,$3.59
01/31/2024,$3.60,22701480,$3.64,$3.64,$3.58
01/30/2024,$3.68,20444640,$3.75,$3.76,$3.66
01/29/2024,$3.85,12913570,$3.79,$3.86,$3.77
01/26/2024,$3.82,19234190,$3.80,$3.85,$3.79
01/25/2024,$3.80,34506220,$3.70,$3.84,$3.69
01/24/2024,$3.41,24358700,$3.43,$3.45,$3.34
01/23/2024,$3.36,25855830,$3.385,$3.46,$3.35
01/22/2024,$3.35,27719110,$3.37,$3.4074,$3.31
01/19/2024,$3.43,19668080,$3.38,$3.43,$3.36
01/18/2024,$3.47,16291300,$3.45,$3.4851,$3.45
01/17/2024,$3.45,11261550,$3.47,$3.47,$3.42
01/16/2024,$3.51,9854286,$3.49,$3.51,$3.47
01/12/2024,$3.52,12715780,$3.505,$3.55,$3.505
01/11/2024,$3.50,13916940,$3.50,$3.51,$3.47
01/10/2024,$3.49,9214652,$3.47,$3.50,$3.46
01/09/2024,$3.48,11399350,$3.50,$3.51,$3.465
01/08/2024,$3.54,15453710,$3.48,$3.55,$3.46
01/05/2024,$3.44,11702740,$3.44,$3.50,$3.4299
01/04/2024,$3.45,10934100,$3.43,$3.46,$3.42
01/03/2024,$3.39,18458110,$3.385,$3.40,$3.35
01/02/2024,$3.41,11708130,$3.39,$3.44,$3.38
12/29/2023,$3.42,21769140,$3.37,$3.46,$3.34
12/28/2023,$3.37,9610808,$3.37,$3.38,$3.36
12/27/2023,$3.38,10834090,$3.38,$3.41,$3.375
12/26/2023,$3.35,8897835,$3.32,$3.37,$3.3001
12/22/2023,$3.36,17974290,$3.35,$3.3864,$3.34
12/21/2023,$3.28,12723880,$3.24,$3.29,$3.24
12/20/2023,$3.25,13269960,$3.31,$3.32,$3.25
12/19/2023,$3.31,17834630,$3.31,$3.325,$3.29
12/18/2023,$3.23,13940020,$3.25,$3.25,$3.20
12/15/2023,$3.26,16638150,$3.27,$3.28,$3.23
12/14/2023,$3.37,12866270,$3.33,$3.40,$3.32
12/13/2023,$3.25,13695270,$3.20,$3.26,$3.17
12/12/2023,$3.22,17594370,$3.21,$3.23,$3.17
12/11/2023,$3.12,22015840,$3.14,$3.17,$3.11
12/08/2023,$3.18,14536460,$3.19,$3.22,$3.16
12/07/2023,$3.10,24122240,$3.05,$3.12,$3.02
12/06/2023,$3.01,30193230,$3.05,$3.09,$3.01
12/05/2023,$3.00,44622890,$2.96,$3.04,$2.94
12/04/2023,$3.16,63662300,$3.22,$3.2591,$3.16
12/01/2023,$3.49,14806650,$3.44,$3.50,$3.42
11/30/2023,$3.48,12890240,$3.52,$3.5299,$3.48
11/29/2023,$3.56,11839560,$3.555,$3.59,$3.55
11/28/2023,$3.52,7168297,$3.52,$3.54,$3.50
11/27/2023,$3.54,5973435,$3.54,$3.55,$3.52
11/24/2023,$3.55,3624414,$3.535,$3.56,$3.5201
11/22/2023,$3.53,8125874,$3.54,$3.55,$3.52
11/21/2023,$3.53,7197141,$3.54,$3.55,$3.53
11/20/2023,$3.59,5938022,$3.56,$3.59,$3.55
11/17/2023,$3.56,5648530,$3.56,$3.57,$3.54
11/16/2023,$3.54,9844005,$3.53,$3.55,$3.51
