Date,Close/Last,Volume,Open,High,Low
04/24/2024,$20.97,654484,$20.99,$21.01,$20.84
04/23/2024,$21.01,1953024,$20.72,$21.04,$20.63
04/22/2024,$20.61,1559045,$20.30,$20.68,$20.28
04/19/2024,$19.98,544941,$20.03,$20.14,$19.945
04/18/2024,$19.98,505098,$20.06,$20.15,$19.93
04/17/2024,$20.15,788940,$20.01,$20.215,$19.91
04/16/2024,$20.33,737430,$20.43,$20.445,$20.25
04/15/2024,$20.41,1194855,$20.66,$20.71,$20.34
04/12/2024,$20.06,803937,$20.53,$20.55,$20.05
04/11/2024,$20.60,725226,$20.67,$20.68,$20.345
04/10/2024,$20.43,1239486,$20.59,$20.67,$20.31
04/09/2024,$20.64,1133034,$20.57,$20.725,$20.51
04/08/2024,$20.45,626295,$20.31,$20.595,$20.295
04/05/2024,$20.08,988167,$20.09,$20.20,$20.02
04/04/2024,$20.36,1165536,$20.65,$20.70,$20.36
04/03/2024,$20.42,886245,$20.15,$20.43,$20.11
04/02/2024,$19.92,854575,$19.99,$20.05,$19.88
04/01/2024,$19.83,562265,$20.04,$20.065,$19.7541
03/28/2024,$20.00,924316,$20.18,$20.25,$19.985
03/27/2024,$20.33,785714,$20.15,$20.41,$20.15
03/26/2024,$20.04,651970,$20.07,$20.10,$19.95
03/25/2024,$19.89,691966,$19.99,$20.06,$19.86
03/22/2024,$20.00,973331,$20.12,$20.26,$19.98
03/21/2024,$20.37,1032867,$20.23,$20.48,$20.205
03/20/2024,$20.61,979678,$20.55,$20.62,$20.265
03/19/2024,$20.80,523969,$20.69,$20.86,$20.635
03/18/2024,$20.67,822026,$20.97,$20.98,$20.655
03/15/2024,$21.06,710404,$21.23,$21.28,$20.99
03/14/2024,$21.45,1011359,$21.60,$21.63,$21.38
03/13/2024,$21.56,798338,$21.51,$21.66,$21.495
03/12/2024,$21.35,637857,$21.40,$21.41,$21.24
03/11/2024,$21.41,823443,$21.12,$21.45,$21.04
03/08/2024,$20.84,581377,$20.89,$21.05,$20.805
03/07/2024,$20.94,931753,$20.77,$21.055,$20.77
03/06/2024,$20.41,545731,$20.44,$20.4912,$20.33
03/05/2024,$20.23,1110550,$20.21,$20.315,$20.19
03/04/2024,$20.34,810984,$20.22,$20.345,$20.19
03/01/2024,$20.33,926866,$20.16,$20.405,$20.05
02/29/2024,$20.05,917420,$20.07,$20.07,$19.88
02/28/2024,$19.89,1111422,$20.06,$20.08,$19.86
02/27/2024,$20.17,516982,$20.20,$20.2401,$20.1422
02/26/2024,$20.08,1033618,$20.05,$20.14,$20.025
02/23/2024,$20.12,1213781,$20.09,$20.21,$20.07
02/22/2024,$20.26,932883,$20.18,$20.31,$20.065
02/21/2024,$19.87,1421816,$19.68,$19.91,$19.55
02/20/2024,$20.16,731208,$20.12,$20.23,$20.08
02/16/2024,$20.31,682678,$20.22,$20.42,$20.1701
